plant_id,meter_id,meter_reading,created_at,data_availability,guid,date
900004,910005,323896757.0,2025-10-22 01:00:10.000000 UTC,1,plant-guid-00000161,2025-10-22 01:00:10.000000 UTC
900003,910000,207858906.0,2025-10-22 02:00:10.000000 UTC,1,plant-guid-00000162,2025-10-22 02:00:10.000000 UTC
900003,910004,105457593.0,2025-10-22 02:00:10.000000 UTC,1,plant-guid-00000163,2025-10-22 02:00:10.000000 UTC
900003,910001,100039937.0,2025-10-22 02:00:10.000000 UTC,1,plant-guid-00000164,2025-10-22 02:00:10.000000 UTC
900002,910002,589083750.0,2025-10-22 02:00:10.000000 UTC,1,plant-guid-00000165,2025-10-22 02:00:10.000000 UTC
900005,910007,237379359.0,2025-10-22 02:00:10.000000 UTC,1,plant-guid-00000166,2025-10-22 02:00:10.000000 UTC
900005,910006,232947375.0,2025-10-22 02:00:10.000000 UTC,1,plant-guid-00000167,2025-10-22 02:00:10.000000 UTC
900001,910008,507598250.0,2025-10-22 02:00:10.000000 UTC,1,plant-guid-00000168,2025-10-22 02:00:10.000000 UTC
900004,910005,323937472.0,2025-10-22 02:00:10.000000 UTC,1,plant-guid-00000169,2025-10-22 02:00:10.000000 UTC
900004,910003,313067070.0,2025-10-22 02:00:10.000000 UTC,1,plant-guid-00000170,2025-10-22 02:00:10.000000 UTC
900003,910004,105447945.0,2025-10-22 00:00:10.000000 UTC,1,plant-guid-00000171,2025-10-22 00:00:10.000000 UTC
900003,910001,100031718.0,2025-10-22 00:00:10.000000 UTC,1,plant-guid-00000172,2025-10-22 00:00:10.000000 UTC
900003,910000,207839859.0,2025-10-22 00:00:10.000000 UTC,1,plant-guid-00000173,2025-10-22 00:00:10.000000 UTC
900002,910002,589012250.0,2025-10-22 00:00:10.000000 UTC,1,plant-guid-00000174,2025-10-22 00:00:10.000000 UTC
900005,910007,237358203.0,2025-10-22 00:00:10.000000 UTC,1,plant-guid-00000175,2025-10-22 00:00:10.000000 UTC
900005,910006,232925765.0,2025-10-22 00:00:10.000000 UTC,1,plant-guid-00000176,2025-10-22 00:00:10.000000 UTC
900001,910008,507567781.0,2025-10-22 00:00:10.000000 UTC,1,plant-guid-00000177,2025-10-22 00:00:10.000000 UTC
900004,910003,313024995.0,2025-10-22 00:00:10.000000 UTC,1,plant-guid-00000178,2025-10-22 00:00:10.000000 UTC
900004,910005,323889639.0,2025-10-22 00:00:10.000000 UTC,1,plant-guid-00000179,2025-10-22 00:00:10.000000 UTC
900003,910000,207839765.0,2025-10-21 14:00:10.000000 UTC,1,plant-guid-00000180,2025-10-21 14:00:10.000000 UTC
900003,910004,105447945.0,2025-10-21 14:00:10.000000 UTC,1,plant-guid-00000181,2025-10-21 14:00:10.000000 UTC
900003,910001,100031718.0,2025-10-21 14:00:10.000000 UTC,1,plant-guid-00000182,2025-10-21 14:00:10.000000 UTC
900002,910002,589012250.0,2025-10-21 14:00:10.000000 UTC,1,plant-guid-00000183,2025-10-21 14:00:10.000000 UTC
900005,910006,232925687.0,2025-10-21 14:00:10.000000 UTC,1,plant-guid-00000184,2025-10-21 14:00:10.000000 UTC
900005,910007,237358125.0,2025-10-21 14:00:10.000000 UTC,1,plant-guid-00000185,2025-10-21 14:00:10.000000 UTC
900001,910008,507567687.0,2025-10-21 14:00:10.000000 UTC,1,plant-guid-00000186,2025-10-21 14:00:10.000000 UTC
900004,910005,323889639.0,2025-10-21 14:00:10.000000 UTC,1,plant-guid-00000187,2025-10-21 14:00:10.000000 UTC
900004,910003,313024991.0,2025-10-21 14:00:10.000000 UTC,1,plant-guid-00000188,2025-10-21 14:00:10.000000 UTC
900003,910000,207898203.0,2025-10-22 03:00:10.000000 UTC,1,plant-guid-00000189,2025-10-22 03:00:10.000000 UTC
900003,910001,100055695.0,2025-10-22 03:00:10.000000 UTC,1,plant-guid-00000190,2025-10-22 03:00:10.000000 UTC
900003,910004,105477257.0,2025-10-22 03:00:10.000000 UTC,1,plant-guid-00000191,2025-10-22 03:00:10.000000 UTC
900002,910002,589206625.0,2025-10-22 03:00:10.000000 UTC,1,plant-guid-00000192,2025-10-22 03:00:10.000000 UTC
900005,910007,237415093.0,2025-10-22 03:00:10.000000 UTC,1,plant-guid-00000193,2025-10-22 03:00:10.000000 UTC
900005,910006,232982234.0,2025-10-22 03:00:10.000000 UTC,1,plant-guid-00000194,2025-10-22 03:00:10.000000 UTC
900001,910008,507656125.0,2025-10-22 03:00:10.000000 UTC,1,plant-guid-00000195,2025-10-22 03:00:10.000000 UTC
900004,910003,313150182.0,2025-10-22 03:00:10.000000 UTC,1,plant-guid-00000196,2025-10-22 03:00:10.000000 UTC
900004,910005,324017444.0,2025-10-22 03:00:10.000000 UTC,1,plant-guid-00000197,2025-10-22 03:00:10.000000 UTC
900003,910000,207792546.0,2025-10-21 09:00:10.000000 UTC,1,plant-guid-00000198,2025-10-21 09:00:10.000000 UTC
900003,910004,105424898.0,2025-10-21 09:00:10.000000 UTC,1,plant-guid-00000199,2025-10-21 09:00:10.000000 UTC
900003,910001,100011687.0,2025-10-21 09:00:10.000000 UTC,1,plant-guid-00000200,2025-10-21 09:00:10.000000 UTC
900002,910002,588997000.0,2025-10-21 09:00:10.000000 UTC,1,plant-guid-00000201,2025-10-21 09:00:10.000000 UTC
900005,910007,237305984.0,2025-10-21 09:00:10.000000 UTC,1,plant-guid-00000202,2025-10-21 09:00:10.000000 UTC
900005,910006,232881781.0,2025-10-21 09:00:10.000000 UTC,1,plant-guid-00000203,2025-10-21 09:00:10.000000 UTC
900001,910008,507443281.0,2025-10-21 09:00:10.000000 UTC,1,plant-guid-00000204,2025-10-21 09:00:10.000000 UTC
900004,910005,323793722.0,2025-10-21 09:00:10.000000 UTC,1,plant-guid-00000205,2025-10-21 09:00:10.000000 UTC
900004,910003,313003105.0,2025-10-21 09:00:10.000000 UTC,1,plant-guid-00000206,2025-10-21 09:00:10.000000 UTC
900003,910001,100031718.0,2025-10-21 12:00:10.000000 UTC,1,plant-guid-00000207,2025-10-21 12:00:10.000000 UTC
900003,910004,105447945.0,2025-10-21 12:00:10.000000 UTC,1,plant-guid-00000208,2025-10-21 12:00:10.000000 UTC
900003,910000,207839765.0,2025-10-21 12:00:10.000000 UTC,1,plant-guid-00000209,2025-10-21 12:00:10.000000 UTC
900002,910002,589012250.0,2025-10-21 12:00:10.000000 UTC,1,plant-guid-00000210,2025-10-21 12:00:10.000000 UTC
900005,910006,232921531.0,2025-10-21 12:00:10.000000 UTC,1,plant-guid-00000211,2025-10-21 12:00:10.000000 UTC
900005,910007,237353625.0,2025-10-21 12:00:10.000000 UTC,1,plant-guid-00000212,2025-10-21 12:00:10.000000 UTC
900001,910008,507567656.0,2025-10-21 12:00:10.000000 UTC,1,plant-guid-00000213,2025-10-21 12:00:10.000000 UTC
900004,910003,313024991.0,2025-10-21 12:00:10.000000 UTC,1,plant-guid-00000214,2025-10-21 12:00:10.000000 UTC
900004,910005,323889639.0,2025-10-21 12:00:10.000000 UTC,1,plant-guid-00000215,2025-10-21 12:00:10.000000 UTC
